Body;Model;Last TP;Engine;Color;SFX;Transmission;PPO;Seq;Comment;Welding;Seq
10383;664W;T6;ASV70L-RETNKX ;089;B5;   ; ;   ;z ;;
11044;664W;A0;ASV70L-RETNKX ;2PS;S1;   ; ;78;  ;;
11055;831W;V8;MXAA54L-RNXMBX;2PS;53;CVT; ;   ;  ;;
11065;664W;P2;ASV70L-RETNKX ;2PS;S1;   ; ;   ;  ;;
11076;831W;P9;MXAA54L-RNXMBX;2PS;53;CVT; ;80;  ;;
11087;831W;P3;MXAA54L-RNXMBX;2PS;53;CVT; ;   ;  ;;
11090;831W;P3;MXAA52L-RNXMBX;040;51;CVT; ;   ;  ;;
11097;831W;V8;AXAA54L-RNZMBX;2PS;55;8AT; ;   ;  ;;
11108;831W;P6;MXAA54L-RNXMBX;2PS;53;CVT; ;   ;  ;;
11118;831W;P6;AXAA54L-RNZMBX;2PS;53;8AT; ;   ;  ;;
11120;831W;T5;AXAA54L-RNZMBX;218;52;8AT; ;   ;  ;;
11123;664W;T7;ASV70L-RETNKX ;2PS;S1;   ; ;   ;  ;;
11134;831W;P6;MXAA54L-RNXMBX;2PS;53;CVT; ;   ;  ;;
11144;664W;T5;ASV70L-RETNKX ;2PS;S1;   ; ;   ;  ;;
11154;831W;T5;MXAA54L-RNXMBX;2PS;53;CVT; ;   ;  ;;
11155;664W;P9;ASV70L-RETNKX ;218;B4;   ; ;83;  ;;
11157;831W;P9;AXAA54L-RNZGBX;089;87;8AT; ;82;  ;;
11162;664W;P9;GSV70L-REZGBX ;1F7;C5;   ; ;90;  ;;
11164;664W;P9;ASV70L-RETNKX ;089;BX;   ; ;81;  ;;
11165;831W;A0;MXAA54L-RNXGBX;218;85;CVT; ;77;  ;;
11166;831W;T4;AXAA54L-RNZMBX;2PS;55;8AT; ;   ;  ;;
11167;664W;P9;ASV70L-RETNKX ;089;B5;   ; ;85;  ;;
11169;664W;P9;ASV70L-RETNKX ;218;B3;   ; ;92;  ;;
11170;831W;P9;AXAA54L-RNZGBX;040;88;8AT; ;79;  ;;
11171;664W;P9;ASV70L-RETNKX ;218;S2;   ; ;88;  ;;
11172;831W;P9;MXAA54L-RNXMBX;089;52;CVT; ;86;  ;;
11173;831W;P9;MXAA52L-RNFXBX;218;20;6MT; ;91;  ;;
11174;664W;P9;ASV70L-RETNKX ;089;BX;   ; ;94;  ;;
11175;831W;V3;MXAA54L-RNXMBX;1F7;52;CVT; ;   ;  ;;
11176;664W;P3;ASV70L-RETNKX ;089;B4;   ; ;   ;  ;;
11177;831W;T4;AXAA54L-RNZMBX;2PS;53;8AT; ;   ;  ;;
11178;664W;P3;GSV70L-REZGBX ;218;C6;   ; ;   ;  ;;
11179;831W;P9;MXAA54L-RNXGBX;089;85;CVT; ;84;  ;;
11180;664W;P3;ASV70L-RETNKX ;218;B2;   ; ;   ;  ;;
